"規制番号","座標","警察署名","交差点名称","制御種別","制御機形式","警交仕規","メーカー補足","製造会社名","製造番号","製造年月","道路別","設置場所"
"70213","34.491901,133.374981","福山東","三吉ガード（南）","地域/連動","灯器連動","灯器連動","LTC-AR71","株式会社京三製作所","T64208","2021年8月","Ｒ３１３","福山市三吉町南1丁目1番北西角先"
"70214","34.492493,133.379478","福山東","助七ガード北","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","コイト電工株式会社","3G1231","2023年7月","市道","福山市三吉町3丁目10番3号先"
"70215","34.484456,133.399101","福山東","手城小学校（北）","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000034","2022年1月","市道","福山市南手城町4丁目5番10号先"
"70216","34.481434,133.369406","福山東","田中橋南詰","単独プロ多","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000018","2018年11月","市道","福山市御門町1丁目2番10号先"
"70217","34.46616,133.294791","福山西","河手橋西","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","","小糸工業株式会社","4M0689","2004年12月","県道５４号（福山尾道）","福山市赤坂町赤坂300番地の3先"
"70218","34.488498,133.372634","福山東","御船町２丁目（北）","地域/直接","交通信号制御機(S9-TCU)","第1012号「版5」","","コイト電工株式会社","3M3816","2023年12月","市道","福山市御船町2丁目2番26号先"
"70219","34.492345,133.368583","福山東","東町３丁目","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000129","2021年8月","市道","福山市東町3丁目1番26号先"
"70220","34.486988,133.356938","福山東","西町１丁目","地域/直接","Ｕ形交通信号制御機(S9-TCU)","第２３１号","S0：TSC-1350","住友電気工業株式会社","HG90577","2004年12月","市道","福山市西町1丁目4番南西角先"
"70221","34.491718,133.364984","福山東","城見町中","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","S3：TSC-3111","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","130336","2013年9月","市道","福山市城見町2丁目2番21号先"
"70222","34.491826,133.365701","福山東","城見町東","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","S3：TSC-3111","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","130337","2013年9月","市道","福山市城見町2丁目4番20号先"
